	student_id	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	a35	a36	a37	a38	a39	a40	a41	a42	a43	a44	a45	a46	a47	a48	a49	a50	a51	a52	a53	a54	a55	a56	a57	a58	a59	a60	a61	a62	a63	a64	a65	a66	a67	a68	a69	a70	a71	a72	a73	a74	a75	a76	a77	a78	a79	a80	a81	a82	a83	a84	a85	a86	a87	a88	a89	a90	a91	a92	a93	a94	a95	a96	a97	a98	a99
0	64525	33139	33150	52640	52655	52647	53476	53477	53458	36836	37079	36839	37065	31415	31406	33089	33093	53146	39831	35982	36026	36425	31963	36923	36950	53584	32020	32049	36508	36505	36593	36591	31781	37038	37027	36535	36539	53237	36765	36816	36789	36762	31341	31348	31317	31332	31306	31326	31308	32020	32049	36950	33139	33150	51780	36508	36505	36593	36591	36923	52782	36535	36539	53584	53676	41717	41721	41720	41713	41730	41968	41959	41993	41752	53757	53794	53809	42031	42039	41717	41721	41720	41713	41730	41968	41959	41993	41752	41981	41680	41682	41846	41862	37038	37027	42109	50311	42109	41094	50138	41095
1	70363	33110	33172	33174	33123	31398	36845	31412	36841	36821	36845	33047	33091	33071	36002	35793	35995	35989	35953	35959	35984	36086	36065	36057	36056	31981	36435	36898	36934	36886	36872	36949	36858	36896	36889	31597	31604	31586	31613	31592	31612	31608	31610	31601	31605	31653	37035	37041	32047	32019	32081	32067	32098	32093	32819	32835	32820	32840	32826	31672	37027	32025	32038	36496	36491	36475	36510	36522	36529	36581	36571	32822	36762	36778	36774	36808	31349	31350	31351	36799	31325	31354	31358	31307	31326	31353	31346	31310	36763	36764	31323	31322	31313	31326	31328	31316	32047	32019	36872	36949	36858
2	70677	33168	33112	31968	31970	53345	53301	53317	31960	36433	53330	53323	53335	53609	36964	36958	36962	36856	53619	32038	32053	36509	36470	36524	36517	36521	36541	36522	32055	32051	36507	36506	36566	36570	36522	36534	36567	36576	36529	36537	32833	32824	53252	36772	36799	36785	36770	36787	36763	31306	31365	31316	31312	53262	36801	36802	36779	36785	36762	36768	36787	31316	31319	31326	31307	31313	31332	31312	32038	32053	32055	32051	36964	36958	36962	36856	36509	36470	36507	36506	51784	33112	36566	36570	36567	36576	53609	32833	32824	53619	36524	36517	36521	36541	36522	36522	36534	36529	36537	33168	41674
3	70695	33149	33188	33040	32023	32017	32021	32054	36479	36463	36582	36566	36525	36529	53247	53254	53190	36801	36775	36770	36769	32023	32017	32021	32054	51890	51870	52241	36479	36463	33149	36582	36566	36525	36529	33188	50136	41113	50066	50098	49104	46627	46686	46594	47357	47300	47302	47464	47405	38052	38059	46629	46686	46677	46516	46637	47339	47420	38062	47431	47191	47216	47209	47190	47217	39472	33750	38628	47233	39512	33699	39233	39297	55632	55655	55645	55631	55641	55656	55640	55659	55630	38628	39327	39233	55656	55640	55631	55623	55648	55654	55641	55646	55632	55659	55625	55644	55649	55638	55651	55652
4	70699	33145	33151	53417	36901	36938	53592	53579	53617	53612	36461	36508	36590	36566	36519	36526	32870	36469	36497	36818	36805	53256	53240	53241	36789	36781	36804	36780	36781	36772	36764	36783	32870	36461	36508	33145	33151	36469	36497	36938	36590	36566	53592	53617	53612	36901	52701	53579	36519	36526	52757	44371	44701	44305	48997	49003	47406	46657	46688	46681	46592	47351	38048	47193	47206	39487	39547	39516	33708	39276	39688	39658	34054	49772	34329	34295	46994	32137	32145	32120	32118	32122	44453	44429	44451	44459	44435	44431	44449	44446	34612	34592	34606	34605	53417	46778	47496	34339	50679	44534	44496
5	70707	33136	33111	52643	52670	37081	37075	37079	37074	31394	36846	53454	33038	35885	35970	36054	35841	35970	36105	36077	36126	39832	35960	36048	39820	36007	31981	36448	53336	53514	36925	36859	32050	32025	36538	36543	36585	36574	36477	36484	36474	31867	31649	37052	36488	36511	36487	36467	53267	36787	36798	36802	36772	36779	36763	31318	31316	31329	31309	32050	32025	51848	36859	33136	33111	36477	36484	36474	51813	53514	36488	36511	36487	36467	36585	36574	36925	36538	36543	41952	53731	41952	42019	42036	53783	37052	41683	41671	41872	41845	50246	40223	50310	42117	40223	42117	41114	41097	41099	50188	41002
6	70727	33123	33117	53461	52672	52636	37056	37070	36841	36831	36596	33028	35904	36009	36049	35978	36026	35878	36432	31977	36423	36586	36582	36539	36530	36481	36462	53197	53257	53191	33123	33117	36481	36462	51876	36586	36582	36539	36530	41951	41949	41955	41963	53732	42010	42014	41951	41949	41955	41963	42010	42014	41857	41864	41681	41700	41685	41673	50226	42123	42123	41091	41094	41095	50047	41004	50051	50099	50101	44052	44058	44220	44684	44383	44369	44389	44374	44373	44418	44396	44414	44405	44410	44308	44696	44275	44704	44273	44332	44276	44272	44056	44061	44213	44246	44368	44379	44380	42360	42357	49072
7	70729	33175	33183	33115	53183	39807	35956	35963	36044	31967	36424	53318	53592	31601	31600	36585	36571	32024	32052	32051	32053	32022	36517	36540	32020	32055	36782	36761	36768	36787	36786	53239	36796	36763	36790	36781	31351	32024	32052	32051	32053	32022	32020	32055	33115	51898	36585	36571	53592	33175	33183	36517	36540	52770	41680	41681	50223	50279	50284	50295	50303	50187	43945	43951	43948	43947	43908	44697	44700	44278	42371	42375	49167	49104	48975	49064	48979	49071	49030	49026	48962	48964	48968	49098	49072	49052	48969	49032	49003	48964	42758	42562	50629	50670	50653	51982	51952	51924	46555	46675	46669
8	70730	33184	33148	33146	52654	35885	39808	35805	39822	35848	35794	35994	35955	35972	35993	36084	32097	32093	36586	36571	36566	33148	33146	36586	36571	36566	33184	32097	32093	41086	50186	43821	43819	43935	44055	44053	44126	44125	44218	44688	44681	44677	43906	42378	48972	49071	48974	48983	49163	49120	49049	46635	46511	46638	47301	47381	47378	47428	38042	38056	38061	46641	46580	46656	47296	47418	47442	47414	38048	33698	47174	38598	33736	39633	47220	38613	33757	33691	33756	33717	33733	39541	55649	38290	39347	38598	55652	55645	55648	55658	55646	55655	55637	55635	55659	39303	38613	55647	55642	55643	55624
9	70733	33182	33187	33111	52668	52644	52652	53437	53514	32054	32020	36582	36580	36459	36472	31814	31749	31876	31807	31774	36536	36527	53281	53204	53216	36787	36795	32054	32020	33111	36459	36472	53514	36582	36580	33182	33187	36536	36527	41751	41720	41716	41742	41745	41751	41720	41716	41742	41745	41681	41678	41870	41867	40226	50306	40226	41086	41091	41086	41098	50071	41027	50063	44213	44686	44392	44403	42377	42362	48984	48962	49147	48980	51990	51940	51955	51954	51939	47894	54656	47903	47960	47899	54630	54659	54638	54624	47883	47898	47964	47875	47870	47900	47867	47858	54677	54675	46556	46625	46553	47309
10	70736	33114	33146	33122	33124	33158	53459	33071	33048	35865	33114	33146	33122	33124	33158	41099	41105	41089	41101	50086	40985	43934	42368	49143	54651	38065	38070	46662	46656	46653	47288	47445	47410	47392	47398	47468	38049	53459	38611	47195	38614	33692	39606	38611	38614	55625	55658	55654	55627	55641	39145	39752	34086	37708	49715	32132	34294	34314	32141	32133	32118	32127	32131	8462	48424	48461	48465	48431	44448	44469	44475	44481	44446	44465	44435	47539	47551	47554	47548	47571	34600	34624	34599	34608	34606	48170	46492	40721	40726	40727	54554	54555	54574	46963	46545	46539	34321	34343	44488	44492	44490
11	70746	33157	33116	52649	52657	53497	36841	37066	36846	36844	36827	33057	33073	36095	36010	35956	35835	36126	35973	39820	36032	36039	36017	35968	35976	35982	35832	36564	36585	36518	36532	37048	37036	36502	36467	36500	36484	32023	32049	32023	32049	36502	36467	36500	36484	33157	33116	36564	36585	36518	36532	52786	53657	53750	42045	42039	42038	41671	41685	37048	37036	50221	50312	40286	42110	40248	40300	40289	40388	50294	50283	40286	42110	40248	40300	40289	50286	40388	41107	41098	41102	40964	50070	50078	41052	44367	44408	44406	44409	44402	44372	44681	44247	44217	44687	44683	44221	44251	44056	44059	43819
12	70756	33131	33164	52669	52659	52639	36839	37083	31414	31409	31416	33068	36600	53098	31659	37046	36543	32025	32041	32025	32041	51839	51735	33131	33164	36543	53690	53752	53808	42048	42035	42042	37046	41671	41693	40392	40392	41114	41095	50134	41096	41048	43859	43829	43847	43834	43947	43946	44056	44125	44057	44127	44123	44221	44273	44700	44388	44370	44402	44405	42359	42362	49012	48953	50654	42655	42531	42633	42600	51978	51991	52000	40763	47963	47886	54640	54623	41357	46515	46638	46520	46541	46668	47371	38050	38052	38064	46553	46598	46659	46599	47277	47430	47425	47487	36839	37083	33709	47193	47196	47195
13	70759	33127	33170	36839	31397	33030	33057	36923	36859	36886	36882	36866	36916	32058	32071	32065	32074	32053	32040	32042	32044	32052	32116	32110	36583	36589	36859	32053	32040	32042	32044	32052	36866	32058	32071	32065	32074	33127	36923	36916	36583	36589	36886	36882	32116	32110	33170	42024	42038	42020	44057	44060	40671	46573	46579	46671	46533	46663	46551	47356	47433	47398	47419	38059	36839	47192	47202	47204	47195	47197	37696	37701	37746	32122	32141	32125	32128	32131	34311	32128	32146	32139	32147	32141	32127	32121	48494	44454	44435	31397	50685	44454	44435	36839	46939	34311	37201	49825	50814	50750	50812
14	70872	33136	33144	36831	37059	36842	53409	53167	53089	53106	53164	36597	33089	53101	33038	33039	53345	36443	31975	36921	36919	53574	32111	32090	32115	31673	31661	36527	36519	37025	31669	37028	31671	36564	36589	36481	36513	36478	36463	36470	32018	32046	32039	32019	32038	32051	36783	36763	36765	36779	31330	31321	31320	53278	36770	36760	36761	36812	36784	36783	31307	31336	31309	31342	51835	32018	32046	32039	32019	32038	32051	36481	36513	36478	36463	36470	51790	51868	52242	51899	33136	33144	36921	36919	36564	36589	32111	32090	32115	53574	36527	36519	52763	42003	41994	42003	41994	37025	37028	41870	41871
15	70874	33185	33135	33123	52653	53403	53400	53404	53413	37062	36828	37080	36847	37072	31392	31394	36598	33087	53123	53100	53146	35823	35859	39810	35886	32110	32038	32048	32055	32056	32047	36568	36575	32038	32048	32055	32056	32047	33135	33123	36568	36575	32110	33185	53710	53786	53781	53767	42035	42040	50325	40359	40225	40341	40302	40359	40225	40341	40302	41114	41026	50052	44413	44409	44407	30179	43831	43854	43942	43912	44247	44680	44690	44394	44405	44126	44060	44246	44220	44686	44372	44385	44362	44379	44364	44383	42385	48993	48976	42694	50525	50445	50519	50630	42661	42514	52018	54661	47956	47958	54634
16	71179	33112	33136	53588	36959	36962	36933	36923	36584	36592	36587	36591	36539	36516	32040	32046	32054	36459	36501	36491	36458	36510	32040	32046	32054	36959	36962	33112	33136	36459	36501	36491	36458	36510	36584	36592	36587	36591	36933	36923	36539	36516	53588	44056	44125	44688	44687	44370	44391	44387	44371	44362	44368	44470	44429	44437	44471	44463	44457	44448	44444	44428	44447	44474	44438	34347	44531	44492	44513	44515	44483	44529	44533	44470	44429	44437	44471	44463	44457	44448	44444	44428	44447	44474	44438	48661	48694	48722	48639	48733	48224	48358	48530	48583	48546	38375	38384	38354	38379	47115	47125
17	71230	33124	33153	33162	33115	36908	36910	53585	53597	53513	32021	32039	36499	36504	36568	36573	36532	36541	32021	32039	33124	33153	33162	36499	36504	53513	33115	36568	36573	53597	52682	36532	36541	36908	36910	53585	44056	44059	44679	44680	44369	44370	44362	44382	47006	34306	44430	44425	44462	44470	44451	44444	44427	44436	44491	44533	44489	44492	44494	44430	44425	44462	44470	44451	44444	44427	44436	48681	48716	48726	48694	48717	47981	48110	48047	48358	48050	48557	38363	38341	38390	38327	38337	38342	47092	47110	47128	47107	47127	47006	34306	33294	50754	50908	50945	51032	32921	32939	32964	32961	32966
