	student_id	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99
0	64525	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	4	4	4	5	5	6	6	6	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	10	10	10	10	10	11	11	11	12	12	12	12	13	13	13	13	13	13	13	13	13	13	14	14	14	14	14	14	14	14	14	14	14	14	14	14	15	15	15	15	15	15	15	16	16	17	18	18	18
1	70363	1	1	1	1	2	2	2	2	2	2	3	3	3	4	4	4	4	4	4	4	4	4	4	4	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9
2	70677	1	1	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	10	10	10	10	10	10	11	11	11	11	11	11	11	11	12	12	12	12	12	12	12	12	12	12	15
3	70695	1	1	3	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	9	9	9	9	10	10	10	10	10	10	11	11	12	12	12	18	18	19	19	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32	32	32	32	32	32	32	32	32	32	32	32	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
4	70699	1	1	2	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	9	10	10	10	10	10	10	11	11	11	11	11	11	12	12	12	12	12	12	21	21	21	23	23	30	30	30	30	30	30	30	32	32	32	32	32	32	33	34	34	34	36	37	37	37	37	37	37	37	37	39	39	39	39	39	39	39	39	42	42	42	42	44	44	44	45	46	46	46
5	70707	1	1	2	2	2	2	2	2	2	2	2	3	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	11	11	11	12	12	13	13	14	14	14	14	15	15	15	15	15	16	16	16	16	17	17	18	18	18	19	19
6	70727	1	1	2	2	2	2	2	2	2	3	3	4	4	4	4	4	4	5	5	5	7	7	7	7	7	7	8	8	8	10	10	10	10	10	11	11	12	12	13	13	13	13	13	13	13	14	14	14	14	14	14	15	15	15	15	15	15	16	16	17	18	18	18	19	19	19	19	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	22	23
7	70729	1	1	1	3	4	4	4	4	5	5	5	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	10	10	11	11	11	12	12	12	12	12	15	15	16	17	17	17	17	19	21	21	21	21	21	21	21	21	22	22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	25	26	26	26	26	27	27	27	30	30	30
8	70730	1	1	1	2	4	4	4	4	4	4	4	4	4	4	4	7	7	7	7	7	10	10	11	11	11	12	12	12	18	19	21	21	21	21	21	21	21	21	21	21	21	21	22	23	23	23	23	23	23	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32	32	32	32	32	32	32	32	32	32	32	32	32	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
9	70733	1	1	1	2	2	2	2	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	9	9	10	10	10	10	11	11	12	12	12	12	13	13	13	13	13	14	14	14	14	14	15	15	15	15	16	17	17	18	18	18	18	19	19	19	21	21	21	21	22	22	23	23	23	23	27	27	27	27	27	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	30	30	30	30
10	70736	1	1	1	1	1	2	3	3	4	10	10	10	10	10	18	18	18	18	19	19	21	22	23	29	30	30	30	30	30	30	30	30	30	30	30	30	31	32	32	32	32	32	33	33	33	33	33	33	33	33	34	34	36	36	37	37	37	37	37	37	37	37	38	38	38	38	38	39	39	39	39	39	39	39	41	41	41	41	41	42	42	42	42	42	42	44	44	44	44	44	44	44	45	45	45	45	45	46	46	46
11	70746	1	1	2	2	2	2	2	2	2	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	7	7	7	7	7	7	7	7	7	7	9	9	10	10	10	10	10	10	11	11	12	12	12	13	14	14	14	14	15	15	15	15	16	16	16	16	16	16	16	16	17	17	17	17	17	17	17	17	17	18	18	18	19	19	19	19	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
12	70756	1	1	2	2	2	2	2	2	2	2	3	3	3	7	7	7	7	7	9	9	9	9	10	10	12	13	14	14	14	14	14	15	15	15	16	17	18	18	18	18	19	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	22	23	23	26	26	26	26	26	27	27	27	29	29	29	29	29	29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	31	31	32	32	32	32
13	70759	1	1	2	2	3	3	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	9	9	9	9	9	9	9	10	10	10	10	10	11	11	11	11	12	12	12	12	12	14	14	14	21	21	29	30	30	30	30	30	30	30	30	30	30	30	31	32	32	32	32	32	36	36	36	37	37	37	37	37	37	37	37	37	37	37	37	37	38	39	39	44	46	46	46	48	54	54	55	67	68	68	68
14	70872	1	1	2	2	2	2	3	3	3	3	3	3	3	3	3	5	5	5	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	12	12	12	12	12	12	12	13	13	14	14	15	15	15	15
15	70874	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	7	7	7	7	7	7	7	7	9	9	9	9	9	10	10	11	11	12	12	13	14	14	14	14	14	16	16	16	16	16	17	17	17	17	18	19	19	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	23	23	25	25	25	25	26	26	26	27	29	29	29	29
16	71179	1	1	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	9	9	9	9	10	10	10	10	10	10	10	11	11	11	11	11	11	12	12	12	21	21	21	21	21	21	21	21	21	21	39	39	39	39	39	39	39	39	39	39	39	39	45	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	48	48	48	48	48	48	48	50	50	50	50	50	50	50	51	51
17	71230	1	1	1	1	6	6	6	6	6	7	7	7	7	7	7	7	7	9	9	10	10	10	10	10	10	10	11	11	11	12	12	12	12	12	12	21	21	21	21	21	21	21	21	37	37	39	39	39	39	39	39	39	39	46	46	46	46	46	46	46	46	46	46	46	46	46	48	48	48	48	48	48	48	48	48	48	50	50	50	50	50	50	50	51	51	51	51	51	54	54	55	68	68	68	68	86	86	86	86	86
18	71232	1	1	6	6	6	7	7	7	7	7	7	7	7	9	9	9	10	10	10	11	11	11	11	12	12	12	12	21	21	21	21	21	21	21	21	21	21	27	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	45	45	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	48	48	48	48	48	48	48	48	48	50	50	50	50	50	51	51	51	51	51	54	54	55	68
19	71740	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	10	12	14	14	14	16	16	16	16	16	16	16	16	16	16	17	17	17	17	17	17	17	18	18	18	19	19	19	19	19	19	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	22	23	23	29	29	29	29	29	30	30	30	30	30	30	30	30	30	30
20	71826	1	1	1	1	2	2	2	2	3	3	3	5	5	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	11	11	11	12	12	12	12	12	12	12	12	12	18	22	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
21	71831	1	1	3	3	3	3	3	3	3	3	3	3	3	3	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9
22	71872	1	1	7	7	7	7	7	7	7	7	7	10	11	11	12	12	12	12	12	12	15	15	15	18	22	23	23	23	23	23	23	29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32	32	32	32	32	32	32	32	32	32	33	33	33	33	33	33	33	34	34	34	34	34	34	34	34	34	34	34	34	35	35	35	35	35	35	35	36	36	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
23	71881	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	10	10	10	10	10	10	10	11	11	11	12	12	12	12	12	13	13	13	13	13	13	13	13	13
24	72059	1	1	1	1	2	2	2	2	2	2	5	7	7	7	7	7	7	7	7	7	8	8	8	8	10	10	10	11	11	12	12	12	12	12	13	14	14	15	15	15	15	15	23	24	24	24	29	29	29	29	31	31	31	31	33	33	33	33	33	33	34	34	34	34	34	34	35	35	35	35	35	37	37	39	39	39	39	39	39	39	40	41	41	41	41	42	44	44	44	44	44	45	46	46	46	46	46	46	46	46
25	72378	1	1	2	2	2	2	2	5	7	7	7	7	7	7	7	8	8	8	8	10	10	10	10	10	10	11	11	13	14	14	15	15	15	15	23	23	23	23	24	29	29	31	31	33	33	33	33	33	33	33	33	34	34	34	34	34	34	35	35	35	35	35	37	39	39	39	39	39	41	41	41	41	41	41	42	44	44	44	44	44	44	45	45	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46
26	72880	1	1	2	6	6	6	7	7	10	10	11	12	12	12	12	18	21	21	21	21	22	23	26	29	29	29	29	29	29	29	29	29	29	29	30	30	30	30	30	30	30	30	30	30	30	32	32	32	32	32	32	32	33	33	33	33	33	33	34	34	36	36	36	36	37	37	37	37	37	37	37	37	37	37	37	37	41	44	44	44	45	45	46	46	48	48	48	48	48	48	48	48	48	48	48	52	54	54	54	54
27	73684	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	10	10	10	10	10	10	10	11	11	11	11	12	12	12	12	12	12	12	15	15	15	15	16	16	16	16	16	16	17	17	17	17	17	18	18	18	18	19	19	19	19	19
28	73685	1	1	1	1	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	6	6	6	7	7	7	7	7	7	7	8	8	8	8	8	8	8	10	10	10	11	11	11	11	11	12	12	12	12	12	12	15	15	15	15	16	16	16	16	16	16	16	16	17	17	17	17	17	18	18	18	18	19	19	19	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
29	73962	1	1	2	2	2	2	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	9	9	9	10	10	10	10	10	10	10	10	11	11	11	11	12	12	12	12	12	12	18	21	21	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	33	33
30	74698	1	1	7	7	7	7	7	7	7	9	9	9	10	10	10	10	11	11	13	14	17	21	22	22	23	27	27	27	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32	32	32	32	32	32	32	32	32	32	32	32	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	34	34	34	34	34	34	34	34	34	34	34	34
31	75169	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
32	78073	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	10	10	10
33	78673	1	1	1	1	2	2	2	2	2	2	2	3	3	3	4	4	4	4	4	5	5	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	10	10
34	78675	1	1	2	2	2	2	3	3	3	5	5	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9
35	78903	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	12	12	12	12	12	12	12	12	13	13	13	13	13	13
36	78904	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	12	12	12	12	12	12
37	78905	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	9	9	9	9	9	10	10	10	10	10	10	10	10	10	11	11	11	11	12	12	12	12	12	12	13	13
38	78906	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
39	78907	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	12	12	12	12	12
40	78908	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10
41	78909	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9
42	78910	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	12	12
43	78911	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
44	78912	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	10	10	10	10	10	10	10	11	11	11	11	12	12	12	12	12	12	12	12	12	12	13	13	13
45	78913	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	11	11	11	12	12	12	12	12	12	12	13
46	78914	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	12
47	78915	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9
48	78916	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	10	10	10	10	10
49	78917	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11
50	78918	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	10
51	78919	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8
52	78920	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	9	9	9	9	10	10	10	10	10	11	11	11	12	12	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13	13	13	13	14
53	78921	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	12	12	12	12	12	12	12	12	12	12
54	78922	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9
55	78923	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9
56	78926	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	10	10	10	10	10	10	10	11	11	11	12	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13
57	78970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7
58	78971	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	5	5	5	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	12	12	12	12
